id,source,srcLvel,relationship,target,tarLvel,diff,platform
10,Airdrop,2,with,Friends,3,1,Airdrop
10,DADAABC,2,with,Learning community,3,1,DADAABC
10,Camera Roll,2,what,Note-taking,4,2,Camera Roll
10,Camera Roll,2,what,Nice memories,4,2,Camera Roll
10,Hinge,2,what,Selfie,4,2,Hinge
10,Camera Roll,2,with,Note-taking,4,1,Camera Roll
10,Camera Roll,2,with,Nice memories,4,1,Camera Roll
10,Hinge,2,with,Selfie,4,1,Hinge
10,Family,3,what,Gift,4,1,Print
10,Friends,3,what,Scenery,4,1,Instagram
10,Friends,3,what,Selfie,4,1,Instagram
10,Friends,3,what,Meals,4,1,Instagram
10,Friends,3,what,Animals/pets,4,1,Instagram
10,Friends,3,what,Family photos,4,1,Instagram
10,Friends,3,what,Social photos,4,1,Instagram
10,Family,3,what,Animals/pets,4,1,SMS Text
10,Family,3,what,People,4,1,SMS Text
10,Family,3,what,Humour,4,1,SMS Text
10,Close friends,3,what,Everyday activities,4,1,SMS Text
10,Close friends,3,what,Important events ,4,1,SMS Text
10,Close friends,3,what,Life updates,4,1,SMS Text
10,Colleagues,3,what,Shared experience,4,1,SMS Text
10,Colleagues,3,what,"Work, projects",4,1,Slack
10,Colleagues,3,what,Shared experience,4,1,Slack
10,Colleagues,3,what,"Work, projects",4,1,Airdrop
10,Friends,3,what,Shared experience,4,1,Airdrop
10,Learning community,3,what,Note-taking,4,1,DADAABC
11,Me,1,through,SMS Text,2,1,SMS Text
11,Me,1,through,Email,2,1,Email
11,Me,1,through,Dropbox,2,1,Dropbox
11,Me,1,through,Personal website,2,1,Personal website
11,Me,1,through,Instagram,2,1,Instagram
11,Me,1,through,Print,2,1,Print
11,SMS Text,2,with,Friends,3,1,SMS Text
11,Email,2,with,Collaborators,3,1,Email
11,Dropbox,2,with,Collaborators,3,1,Dropbox
11,Personal website,2,with,Public,3,1,Personal website
11,Instagram,2,with,Public,3,1,Instagram
11,Print,2,with,Collaborators,3,1,Print
11,Print,2,with,Public,3,1,Print
11,Friends,3,what,Shared experience,4,1,SMS Text
11,Collaborators,3,what,Old photos,4,1,Email
11,Collaborators,3,what,"Work, projects",4,1,Email
11,Collaborators,3,what,Shared experience,4,1,Email
11,Collaborators,3,what,"Work, projects",4,1,Dropbox
11,Public,3,what,"Work, projects",4,1,Personal website
11,Public,3,what,"Work, projects",4,1,Instagram
11,Collaborators,3,what,Gift,4,1,Print
11,Public,3,what,"Work, projects",4,1,Print
12,Me,1,through,Tinder,2,1,Tinder
12,Me,1,through,Twitter,2,1,Twitter
12,Me,1,through,Facebook,2,1,Facebook
12,Me,1,through,Google Drive,2,1,Google Drive
12,Me,1,through,Facebook Messenger,2,1,Facebook Messenger
12,Me,1,through,Discord,2,1,Discord
12,Twitter,2,with,Public,3,1,Twitter
12,Facebook,2,with,Friends,3,1,Facebook
12,Facebook,2,with,Family,3,1,Facebook
12,Facebook,2,with,Colleagues,3,1,Facebook
12,Google Drive,2,with,Close friends,3,1,Google Drive
12,Facebook Messenger,2,with,Family,3,1,Facebook Messenger
12,Facebook Messenger,2,with,Friends,3,1,Facebook Messenger
12,Discord,2,with,Friends,3,1,Discord
12,Tinder,2,what,Selfie,4,2,Tinder
12,Facebook Messenger,2,what,Selfie,4,2,Facebook Messenger
12,Facebook Messenger,2,what,Memes,4,2,Facebook Messenger
12,Facebook Messenger,2,what,Aesthetic photos,4,2,Facebook Messenger
12,Facebook Messenger,2,what,Animals/pets,4,2,Facebook Messenger
12,Tinder,2,with,Selfie,4,1,Tinder
12,Facebook Messenger,2,with,Selfie,4,1,Facebook Messenger
12,Facebook Messenger,2,with,Memes,4,1,Facebook Messenger
12,Facebook Messenger,2,with,Aesthetic photos,4,1,Facebook Messenger
12,Facebook Messenger,2,with,Animals/pets,4,1,Facebook Messenger
12,Public,3,what,Animals/pets,4,1,Twitter
12,Friends,3,what,Selfie,4,1,Facebook
12,Family,3,what,Selfie,4,1,Facebook
12,Colleagues,3,what,"Work, projects",4,1,Facebook
12,Close friends,3,what,Shared experience,4,1,Google Drive
12,Close friends,3,what,Social photos,4,1,Google Drive
12,Friends,3,what,Memes,4,1,Discord
12,Friends,3,what,Social photos,4,1,Discord
12,Friends,3,what,Selfie,4,1,Discord
13,Me,1,through,Print,2,1,Print
13,Me,1,through,SMS Text,2,1,SMS Text
13,Me,1,through,Email,2,1,Email
13,Print,2,with,Family,3,1,Print
13,SMS Text,2,with,Family,3,1,SMS Text
13,SMS Text,2,with,Friends,3,1,SMS Text
13,Email,2,with,Overseas friends,3,1,Email
13,Email,2,with,Collaborators,3,1,Email
13,Email,2,with,Friends,3,1,Email
13,Email,2,with,Employee,3,1,Email
13,Email,2,with,Family,3,1,Email
13,Family,3,what,People,4,1,Print
13,Family,3,what,Important events ,4,1,Print
13,Overseas friends,3,what,Scenery,4,1,Email
13,Overseas friends,3,what,Family photos,4,1,Email
