id,source,srcLvel,relationship,target,tarLvel,diff,platform
19,Facebook,2,with,Friends,3,1,Facebook
19,Facebook,2,with,Family,3,1,Facebook
19,Facebook,2,with,Partner,3,1,Facebook
19,Facebook,2,with,Collaborators,3,1,Facebook
20,Me,1,through,Facebook Messenger,2,1,Facebook Messenger
20,Me,1,through,Secondary Instagram account,2,1,Secondary Instagram account
20,Me,1,through,Instagram,2,1,Instagram
20,Me,1,through,Third Instagram account,2,1,Third Instagram account
20,Me,1,through,SMS Text,2,1,SMS Text
20,Me,1,through,WhatsApp,2,1,WhatsApp
20,Me,1,through,Dating app,2,1,Dating app
20,Facebook Messenger,2,with,Friends,3,1,Facebook Messenger
20,Facebook Messenger,2,with,Family,3,1,Facebook Messenger
20,Secondary Instagram account,2,with,Family,3,1,Secondary Instagram account
20,Instagram,2,with,Public,3,1,Instagram
20,Instagram,2,with,Friends,3,1,Instagram
20,Instagram,2,with,Collaborators,3,1,Instagram
20,Third Instagram account,2,with,Public,3,1,Third Instagram account
20,SMS Text,2,with,Partner,3,1,SMS Text
20,SMS Text,2,with,Family,3,1,SMS Text
20,WhatsApp,2,with,Overseas friends,3,1,WhatsApp
20,WhatsApp,2,with,Ex-partner,3,1,WhatsApp
20,Dating app,2,what,Selfie,4,2,Dating app
20,Dating app,2,with,Selfie,4,1,Dating app
20,Family,3,what,Family photos,4,1,Secondary Instagram account
20,Public,3,what,"Work, projects",4,1,Instagram
20,Friends,3,what,"Work, projects",4,1,Instagram
20,Public,3,what,Activism,4,1,Instagram
20,Friends,3,what,Activism,4,1,Instagram
20,Collaborators,3,what,"Work, projects",4,1,Instagram
20,Collaborators,3,what,Activism,4,1,Instagram
20,Public,3,what,"Work, projects",4,1,Third Instagram account
20,Partner,3,what,Meals,4,1,SMS Text
20,Partner,3,what,Aesthetic photos,4,1,SMS Text
20,Partner,3,what,Selfie,4,1,SMS Text
20,Partner,3,what,Family photos,4,1,SMS Text
20,Partner,3,what,"Work, projects",4,1,SMS Text
20,Family,3,what,Family photos,4,1,SMS Text
20,Family,3,what,Shared experience,4,1,SMS Text
20,Overseas friends,3,what,Life updates,4,1,WhatsApp
20,Ex-partner,3,what,Family photos,4,1,WhatsApp
21,Me,1,through,Snapchat,2,1,Snapchat
21,Me,1,through,Instagram,2,1,Instagram
21,Me,1,through,Facebook,2,1,Facebook
21,Me,1,through,SMS Text,2,1,SMS Text
21,Me,1,through,iCloud,2,1,iCloud
21,Me,1,through,WhatsApp,2,1,WhatsApp
21,Me,1,through,Facebook Messenger,2,1,Facebook Messenger
21,Snapchat,2,with,Friends,3,1,Snapchat
21,Instagram,2,with,Friends,3,1,Instagram
21,Facebook,2,with,Friends,3,1,Facebook
21,SMS Text,2,with,Friends,3,1,SMS Text
21,SMS Text,2,with,Family,3,1,SMS Text
21,iCloud,2,with,Partner,3,1,iCloud
21,WhatsApp,2,with,Family,3,1,WhatsApp
21,SMS Text,2,what,Family photos,4,2,SMS Text
21,SMS Text,2,with,Family photos,4,1,SMS Text
21,Friends,3,what,Family photos,4,1,Snapchat
21,Friends,3,what,Fun/funny photos,4,1,Snapchat
21,Friends,3,what,Photo-worthy moments,4,1,Instagram
21,Friends,3,what,Photo-worthy moments,4,1,Facebook
21,Partner,3,what,Family photos,4,1,iCloud
21,Family,3,what,Family photos,4,1,WhatsApp
22,Me,1,through,iCloud,2,1,iCloud
22,Me,1,through,LinkedIn,2,1,LinkedIn
22,Me,1,through,Instagram,2,1,Instagram
22,Me,1,through,WhatsApp,2,1,WhatsApp
22,Me,1,through,Print,2,1,Print
22,Me,1,through,Airdrop,2,1,Airdrop
22,Me,1,through,SMS Text,2,1,SMS Text
22,Me,1,through,Facebook Messenger,2,1,Facebook Messenger
22,iCloud,2,with,Partner,3,1,iCloud
22,Instagram,2,with,Friends,3,1,Instagram
22,WhatsApp,2,with,Close friends,3,1,WhatsApp
22,WhatsApp,2,with,Family,3,1,WhatsApp
22,Print,2,with,Family,3,1,Print
22,Print,2,with,Close friends,3,1,Print
22,Airdrop,2,with,Partner,3,1,Airdrop
22,Airdrop,2,with,Friends,3,1,Airdrop
22,SMS Text,2,with,Friends,3,1,SMS Text
22,SMS Text,2,with,Family,3,1,SMS Text
22,Facebook Messenger,2,with,Friends,3,1,Facebook Messenger
22,LinkedIn,2,what,"Work, projects",4,2,LinkedIn
22,LinkedIn,2,with,"Work, projects",4,1,LinkedIn
22,Partner,3,what,Family photos,4,1,iCloud
22,Friends,3,what,Holidays,4,1,Instagram
22,Friends,3,what,Family photos,4,1,Instagram
22,Friends,3,what,Social photos,4,1,Instagram
22,Friends,3,what,Photo-worthy moments,4,1,Instagram
22,Close friends,3,what,Holidays,4,1,WhatsApp
22,Close friends,3,what,Family photos,4,1,WhatsApp
22,Family,3,what,Family photos,4,1,WhatsApp
22,Family,3,what,Family photos,4,1,Print
22,Close friends,3,what,Family photos,4,1,Print
22,Partner,3,what,Family photos,4,1,Airdrop
22,Friends,3,what,Social photos,4,1,Airdrop
22,Friends,3,what,Important events ,4,1,Airdrop
22,Friends,3,what,Family photos,4,1,SMS Text
22,Family,3,what,Family photos,4,1,SMS Text
22,Friends,3,what,Family photos,4,1,Facebook Messenger
23,Me,1,through,WhatsApp,2,1,WhatsApp
23,Me,1,through,Print,2,1,Print
